Model/Dataset,Alzheimer-MRI,chest-xray-classification,LungCancer4Types,skin-cancer
bioclip,0.3086,0.7356,0.1867,0.0486
biomedclip-pubmedbert-chuhac,0.4518,0.7785,0.2600,0.1549
clipmd,0.4948,0.7391,0.2133,0.1124
pubmed,0.3047,0.7760,0.2467,0.1140
